sentiment,Text Tweets
positive,Qatar menginvestasikan 300 miliar dolar AS sebagai tuan rumah Piala Dunia 2022 https://t.co/rYluSaGzJc
positive,"@idextratime @IExpressSports Qatar sebagai tuan rumah sudah sukses menyelenggarakan turnamen ini dengan baik, tapi FIFA sebagai perangkat pertandingan cukup kontroversial dan banyak menguntungkan pihak tertentu"
positive,"Piala Dunia 2022 Sudah Sampai Pertandingan Final, Qatar Disebut Sukses Sebagai Tuan Rumah https://t.co/BH6dy8LBvu"
positive,"Qatar memanfaatkan posisi sebagai tuan rumah Piala Dunia dan kehebatan ekonominya untuk memaksimalkan pengaruhnya, baik dalam politik regional maupun di panggung global.Baca Trias Kuncahyono di Opini Kompas.https://t.co/ZoO90rX814@hariankompas @iaskunz"
positive,Prancis pasti ada di Final.Pemilihan Qatar sebagai tuan rumah Pildun gk lepas dari kontribusi Prancis. Hubungan ekonomi bilateral kedua negara juga sangat kuat.
positive,"Sebagai tuan rumah dimana ini merupakan kali pertama Piala Dunia digelar di tanah Arab, pemerintah Qatar pun habis-habisan dalam mempersiapkannya.Mewujudkan kemegahan acara, dana sebesar USD 220 miliar pun digelontorkan. #FIFAWorldCup"
positive,"Bertemu teman lama, Chief Investment Officer Qatar Investment Authority untuk Asia, Sheikh Faisal Thani Al-Thani. Kerja sama di bidang olahraga dengan Qatar sebagai tuan rumah Piala Dunia, akan bermanfaat bagi kita dalam menggelar Piala Dunia U-20 tahun depan. https://t.co/4ycyUAwaP0"
positive,"Seri Paduka menzahirkan ucapan tahniah kepada Sheikh Tamim dan kerajaan Qatar sebagai tuan rumah, atas kejayaan menganjur kejohanan bola sepak Piala Dunia FIFA Qatar 2022.https://t.co/xlqSvddeMs"
positive,"Tahun ini, gue dukung tim dari negara Maroco Gue optimis tim jagoan gue akan jadi juara karena semangat Qatar sebagai tuan rumah merasuk ke jiwa pemain Qatar.... Menang Kalah Pilih Main Bersih #WorldKahf"
positive,"Qatar, dapat pujian yang meluas sebagai tuan rumah #WorldCup2022 karena banyak hal yang baik dan berbeda dari piala dunia sebelum2nya.Wajar, jika banyak yg “mencari” kesalahannyaapalagi salah satu yg menonjol & keras melarang bendera pelangi"
positive,"Komite ini juga memastikan persiapan, perencanaan, dan operasional Qatar sebagai tuan rumah piala dunia"
positive,"Qatar sebagai tuan rumah tidak melarang semua suku, semua agama,semua warna kulit etnis dll. Untuk masuk bahkan yg LGBT pun mungkin ada yg ke Qatar...."
positive,"Jika memang kesuksesan Qatar sebagai tuan rumah dan kiprah Maroko di #PialaDunia2022 dianggap sebagai kegemilangan Muslim, itu tidaklah salah.Yang penting, setelah kompetisi berakhir, yuk kaum muslimin rajin baca buku, kembangkan sains dan tebar damai ke seluruh penjuru bumi."
positive,Itu juga alasan yang bikin Qatar (sebagai tuan rumah) mendukung banget Maroko. Setiap mereka main—apalagi menang—ada bendera Maroko di mana-mana.Para pendukung Maroko juga berasa ada di rumah/negara sendiri.https://t.co/qs3YeFrDNa
